t_s,q1_sim,q1_ref,q2_sim,q2_ref,dq1_sim,dq1_ref,dq2_sim,dq2_ref,tau1,tau2
14.6409999999973,1.25454786518297,1.24999938677122,1.24634214622641,1.25000043802055,-0.00215701624778875,6.13228776049518e-07,0.00440326595870528,-4.38020554321085e-07,0.949738482369224,-4.35560903584083
14.6419999999973,1.25454570816672,1.24999938738415,1.24634654949237,1.25000043758275,-0.00216327679947665,6.12615853785678e-07,0.00447812199940017,-4.37582752704056e-07,1.13048972168969,-4.17727704172192
14.6429999999973,1.25454354488992,1.24999938799646,1.24635102761437,1.25000043714539,-0.00217016070847152,6.12003544137742e-07,0.00458765847550418,-4.37145388669816e-07,1.12902029398885,-4.18249666808828
14.6439999999973,1.25454137472921,1.24999938860815,1.24635561527285,1.25000043670846,-0.00217645445492679,6.11391846493402e-07,0.00469558868125726,-4.36708461781001e-07,0.945899075194264,-4.36929709698932
14.6449999999973,1.25453919827476,1.24999938921924,1.24636031086153,1.25000043627197,-0.00218116728214499,6.10780760240959e-07,0.00476623294068818,-4.36271971600685e-07,0.651079642427575,-4.66634994669913
14.6459999999973,1.25453701710748,1.24999938982972,1.24636507709447,1.25000043583592,-0.00218390962915142,6.10170284769327e-07,0.004778147005631,-4.35835917692377e-07,0.357180385086748,-4.96021428889166
14.6469999999973,1.25453483319785,1.24999939043958,1.24636985524148,1.2500004354003,-0.0021850419163403,6.09560419468031e-07,0.00473231299290327,-4.35400299620022e-07,0.176468107032829,-5.138667226952
14.6479999999973,1.25453264815593,1.24999939104884,1.24637458755447,1.25000043496512,-0.00218553685740559,6.08951163727205e-07,0.00465176420578765,-4.34965116948004e-07,0.177975922179662,-5.13356922721511
14.6489999999973,1.25453046261907,1.24999939165748,1.24637923931867,1.25000043453037,-0.00218660789968478,6.08342516937593e-07,0.00457278715600318,-4.34530369241138e-07,0.361134950355793,-4.9468911041716
14.6499999999973,1.25452827601117,1.24999939226552,1.24638381210583,1.25000043409606,-0.00218924572450112,6.0773447849055e-07,0.00453106132364015,-4.34096056064678e-07,0.655991609961016,-4.64996123604858
14.6509999999973,1.25452608676545,1.24999939287295,1.24638834316715,1.25000043366218,-0.00219383984914873,6.07127047778035e-07,0.00454803079609804,-4.33662176984311e-07,0.949927508956173,-4.35622054896366
14.6519999999973,1.2545238929256,1.24999939347978,1.24639289119795,1.25000043322873,-0.00220002985952524,6.06520224192618e-07,0.0046227133500001,-4.33228731566156e-07,1.13067584378179,-4.17789193936708
14.6529999999973,1.25452169289574,1.24999939408599,1.2463975139113,1.25000043279572,-0.00220684309099524,6.05914007127477e-07,0.00473207562136149,-4.32795719376769e-07,1.12920350330156,-4.18311494246434
14.6539999999973,1.25451948605265,1.2499993946916,1.24640224598692,1.25000043236314,-0.00221306616481746,6.05308395976393e-07,0.00483983105819226,-4.32363139983138e-07,0.946079371650517,-4.36991874608984
